cowccode,iso3numeric,iso3alpha,year,LoTUnknown,LoTCriminal,LoTDissident,LoTMarginalized,LoTStateAgent,RstrctAccess
155,152,"CHL",2001,"No Allegations","Several","No Allegations","No Allegations","No Allegations","No"
155,152,"CHL",2002,"No Allegations","Allegation, No LoT","No Allegations","Allegation, No LoT","No Allegations","No"
155,152,"CHL",2003,"Widespread","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
155,152,"CHL",2004,"Widespread","No Allegations","No Allegations","No Allegations","No Allegations","No"
155,152,"CHL",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
160,32,"ARG",1995,"Several","Infrequent","No Allegations","Infrequent","No Allegations","No"
160,32,"ARG",1996,"Several","Infrequent","Systematic","Infrequent","No Allegations","No"
160,32,"ARG",1997,"Several","Infrequent","No Allegations","Routinely","No Allegations","No"
160,32,"ARG",1998,"Several","Infrequent","No Allegations","Infrequent","No Allegations","No"
160,32,"ARG",1999,"Several","Infrequent","No Allegations","Infrequent","No Allegations","No"
160,32,"ARG",2000,"Widespread","Systematic","Several","Several","No Allegations","No"
160,32,"ARG",2001,"Several","Systematic","No Allegations","Widespread","No Allegations","No"
160,32,"ARG",2002,"Systematic","No Allegations","No Allegations","Several","No Allegations","No"
160,32,"ARG",2003,"Systematic","Systematic","No Allegations","Systematic","No Allegations","No"
160,32,"ARG",2004,"Systematic","Systematic","Systematic","Systematic","No Allegations","No"
160,32,"ARG",2005,"Several","Several","Systematic","Systematic","No Allegations","No"
165,858,"URY",1995,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
165,858,"URY",1996,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
165,858,"URY",1997,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
165,858,"URY",1998,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
165,858,"URY",1999,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
165,858,"URY",2000,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
165,858,"URY",2001,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
165,858,"URY",2002,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
165,858,"URY",2003,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
165,858,"URY",2004,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
165,858,"URY",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
200,826,"GBR",1995,"Routinely","No Allegations","No Allegations","Systematic","No Allegations","No"
200,826,"GBR",1996,"Routinely","No Allegations","No Allegations","Systematic","No Allegations","No"
200,826,"GBR",1997,"Routinely","No Allegations","No Allegations","Systematic","No Allegations","No"
200,826,"GBR",1998,"Routinely","No Allegations","No Allegations","Systematic","No Allegations","No"
200,826,"GBR",1999,"Routinely","No Allegations","No Allegations","Systematic","No Allegations","No"
200,826,"GBR",2000,"Routinely","Routinely","No Allegations","Systematic","Routinely","No"
200,826,"GBR",2001,"Routinely","Widespread","No Allegations","Systematic","Systematic","No"
200,826,"GBR",2002,"Routinely","Several","Several","Systematic","No Allegations","No"
