outcome,model_name,AIC,BIC,MAE,RMSE
criminal,mdl_v2xlg_legcon_basic,7904.615259453431,7920.848115080182,2.210227046558932,4.157097812135713
criminal,mdl_v2xlg_legcon_w_controls,7681.877530634921,7714.343241888422,2.0765940381237713,3.6215985544204714
dissident,mdl_base1,7847.448547272892,7858.270451024059,2.3020268225858884,4.615322718797412
dissident,mdl_base2,7720.357079409023,7747.411838786941,2.2485924680528013,4.463321812635081
dissident,mdl_ccp_dueproc_basic,7819.090877160729,7835.32373278748,2.2902932580837487,4.599801970770963
dissident,mdl_ccp_dueproc_w_controls,7690.17882388523,7722.644535138731,2.2360022328772224,4.445008348888468
dissident,mdl_ccp_habcorp_basic,7831.6211313667745,7847.853986993526,2.291076905013094,4.60015994445174
dissident,mdl_ccp_habcorp_w_controls,7707.038538671402,7739.504249924904,2.2421522809501706,4.45428287250161
dissident,mdl_ccp_prerel_basic,7755.864119932348,7772.0969755590995,2.2604565489639974,4.570650906290374
dissident,mdl_ccp_prerel_w_controls,7638.080249252964,7670.545960506465,2.2167519536176403,4.424584823572643
dissident,mdl_ccp_speedtri_basic,7804.310386337448,7820.543241964199,2.2844879813192636,4.593758365436017
dissident,mdl_ccp_speedtri_w_controls,7678.6165327559065,7711.082244009408,2.2326567316659442,4.443690762451115
dissident,mdl_ccp_torture_basic,7807.181834019046,7823.414689645797,2.2893200161653686,4.5835925731197324
dissident,mdl_ccp_torture_w_controls,7680.41257489303,7712.8782861465315,2.2368422636026124,4.436300771464346
dissident,mdl_epr_excluded_group_pop_basic,7837.8118106999455,7854.044666326697,2.3031546325163523,4.625897723903582
dissident,mdl_epr_excluded_group_pop_w_controls,7713.8005252887415,7746.266236542243,2.2520690764182296,4.475339767595701
dissident,mdl_epr_excluded_groups_count_basic,7826.063202029495,7842.296057656246,2.3054371354308336,4.606003242314843
dissident,mdl_epr_excluded_groups_count_w_controls,7703.253870605479,7735.719581858981,2.252081063700709,4.455847151968064
dissident,mdl_v2asuffrage_basic,7810.5122457143,7826.745101341051,2.2765510693518065,4.594546619693293
dissident,mdl_v2asuffrage_w_controls,7688.102928614432,7720.568639867934,2.225424250364918,4.4440923765712
dissident,mdl_v2clacjust_basic,7818.056206841165,7834.289062467916,2.292183254848592,4.610341506034062
dissident,mdl_v2clacjust_w_controls,7699.916336474939,7732.382047728441,2.232334377227324,4.446324489600818
dissident,mdl_v2clsocgrp_basic,7796.041113325289,7812.27396895204,2.307052138073762,4.6568541351430905
dissident,mdl_v2clsocgrp_w_controls,7687.500284917896,7719.965996171398,2.250083224386844,4.485388609871902
dissident,mdl_v2pepwrses_basic,7761.490007307608,7777.722862934359,2.2646504147347954,4.517490123700028
dissident,mdl_v2pepwrses_w_controls,7645.597292631617,7678.063003885119,2.2111479803193728,4.354496390660106
dissident,mdl_v2pepwrsoc_basic,7812.5635673893285,7828.79642301608,2.2996299193281393,4.603324354490905
dissident,mdl_v2pepwrsoc_w_controls,7691.702289645529,7724.168000899031,2.245215637155873,4.451535462248649
dissident,mdl_v2x_elecoff_basic,7762.567053954327,7778.799909581078,2.257181358836451,4.583688026610821
dissident,mdl_v2x_elecoff_w_controls,7648.963656604474,7681.429367857975,2.211692560779063,4.442970712196769
dissident,mdl_v2x_jucon_basic,7796.440036755679,7812.67289238243,2.303131752794455,4.620092356266977
dissident,mdl_v2x_jucon_w_controls,7689.025755616742,7721.491466870243,2.2517007309064105,4.466545264546688
dissident,mdl_v2xel_frefair_basic,7746.013296365687,7762.246151992438,2.279681232275706,4.578857859978862
dissident,mdl_v2xel_frefair_w_controls,7645.575253684744,7678.040964938245,2.230602160290186,4.425835422564827
dissident,mdl_v2xlg_legcon_basic,7765.848811066579,7782.081666693331,2.302098734404083,4.579865769058078
dissident,mdl_v2xlg_legcon_w_controls,7647.918886358747,7680.384597612248,2.244921543373735,4.418184204869364
marginalized,mdl_base1,8689.510261317275,8700.332165068443,2.6514824651545803,6.2338216292739395
marginalized,mdl_base2,8417.178442319524,8444.233201697441,2.5897483516201123,5.801559999711864
marginalized,mdl_ccp_dueproc_basic,8659.33928809551,8675.572143722262,2.640004480035618,6.209281846521059
