gwcode,year,igo_n,igo_total,igo_p
93,2001,74,323,0.22910216718266255
93,2002,71,327,0.21712538226299694
93,2003,74,327,0.22629969418960244
93,2004,76,327,0.2324159021406728
93,2005,76,324,0.2345679012345679
94,1995,65,323,0.20123839009287925
94,1996,64,325,0.19692307692307692
94,1997,64,328,0.1951219512195122
94,1998,67,337,0.19881305637982197
94,1999,68,330,0.20606060606060606
94,2000,70,330,0.21212121212121213
94,2001,69,323,0.21362229102167182
94,2002,69,327,0.21100917431192662
94,2003,72,327,0.22018348623853212
94,2004,72,327,0.22018348623853212
94,2005,73,324,0.22530864197530864
95,1995,63,323,0.19504643962848298
95,1996,66,325,0.20307692307692307
95,1997,66,328,0.20121951219512196
95,1998,68,337,0.20178041543026706
95,1999,69,330,0.20909090909090908
95,2000,70,330,0.21212121212121213
95,2001,74,323,0.22910216718266255
95,2002,75,327,0.22935779816513763
95,2003,75,327,0.22935779816513763
95,2004,75,327,0.22935779816513763
95,2005,76,324,0.2345679012345679
100,1995,77,323,0.23839009287925697
100,1996,78,325,0.24
100,1997,79,328,0.24085365853658536
100,1998,83,337,0.24629080118694363
100,1999,81,330,0.24545454545454545
100,2000,83,330,0.2515151515151515
100,2001,84,323,0.26006191950464397
100,2002,83,327,0.25382262996941896
100,2003,85,327,0.2599388379204893
100,2004,87,327,0.26605504587155965
100,2005,88,324,0.2716049382716049
101,1995,84,323,0.26006191950464397
101,1996,84,325,0.25846153846153846
101,1997,84,328,0.25609756097560976
101,1998,87,337,0.258160237388724
101,1999,85,330,0.25757575757575757
101,2000,85,330,0.25757575757575757
101,2001,85,323,0.2631578947368421
101,2002,84,327,0.25688073394495414
101,2003,85,327,0.2599388379204893
101,2004,85,327,0.2599388379204893
101,2005,87,324,0.26851851851851855
110,1995,50,323,0.15479876160990713
110,1996,51,325,0.15692307692307692
110,1997,52,328,0.15853658536585366
110,1998,55,337,0.1632047477744807
110,1999,56,330,0.1696969696969697
110,2000,57,330,0.17272727272727273
110,2001,57,323,0.17647058823529413
110,2002,55,327,0.16819571865443425
110,2003,54,327,0.1651376146788991
110,2004,56,327,0.1712538226299694
110,2005,56,324,0.1728395061728395
115,1995,41,323,0.12693498452012383
115,1996,42,325,0.12923076923076923
115,1997,45,328,0.13719512195121952
115,1998,47,337,0.1394658753709199
115,1999,47,330,0.14242424242424243
115,2000,49,330,0.1484848484848485
115,2001,50,323,0.15479876160990713
115,2002,50,327,0.1529051987767584
115,2003,51,327,0.1559633027522936
115,2004,52,327,0.15902140672782875
115,2005,52,324,0.16049382716049382
130,1995,71,323,0.21981424148606812
130,1996,72,325,0.22153846153846155
130,1997,74,328,0.22560975609756098
130,1998,76,337,0.22551928783382788
130,1999,76,330,0.23030303030303031
130,2000,77,330,0.23333333333333334
130,2001,77,323,0.23839009287925697
130,2002,74,327,0.22629969418960244
130,2003,76,327,0.2324159021406728
130,2004,75,327,0.22935779816513763
130,2005,76,324,0.2345679012345679
135,1995,76,323,0.23529411764705882
135,1996,74,325,0.2276923076923077
135,1997,75,328,0.22865853658536586
135,1998,78,337,0.2314540059347181
135,1999,76,330,0.23030303030303031
135,2000,77,330,0.23333333333333334
135,2001,78,323,0.24148606811145512
135,2002,77,327,0.23547400611620795
135,2003,78,327,0.23853211009174313
135,2004,79,327,0.2415902140672783
135,2005,81,324,0.25
140,1995,79,323,0.24458204334365324
140,1996,81,325,0.24923076923076923
140,1997,83,328,0.2530487804878049
140,1998,84,337,0.24925816023738873
140,1999,86,330,0.2606060606060606
140,2000,87,330,0.2636363636363636
140,2001,87,323,0.2693498452012384
140,2002,86,327,0.26299694189602446
140,2003,88,327,0.2691131498470948
140,2004,89,327,0.27217125382262997
140,2005,92,324,0.2839506172839506
145,1995,66,323,0.2043343653250774
145,1996,65,325,0.2
145,1997,68,328,0.2073170731707317
145,1998,71,337,0.21068249258160238
145,1999,71,330,0.21515151515151515
145,2000,72,330,0.21818181818181817
145,2001,74,323,0.22910216718266255
145,2002,72,327,0.22018348623853212
145,2003,73,327,0.22324159021406728
145,2004,77,327,0.23547400611620795
145,2005,77,324,0.23765432098765432
150,1995,63,323,0.19504643962848298
150,1996,62,325,0.19076923076923077
150,1997,63,328,0.19207317073170732
150,1998,64,337,0.18991097922848665
150,1999,63,330,0.19090909090909092
150,2000,64,330,0.19393939393939394
150,2001,66,323,0.2043343653250774
150,2002,67,327,0.20489296636085627
150,2003,68,327,0.20795107033639143
150,2004,68,327,0.20795107033639143
150,2005,69,324,0.21296296296296297
155,1995,77,323,0.23839009287925697
155,1996,76,325,0.23384615384615384
155,1997,76,328,0.23170731707317074
155,1998,79,337,0.2344213649851632
155,1999,78,330,0.23636363636363636
155,2000,79,330,0.23939393939393938
155,2001,79,323,0.24458204334365324
155,2002,78,327,0.23853211009174313
155,2003,78,327,0.23853211009174313
155,2004,79,327,0.2415902140672783
155,2005,80,324,0.24691358024691357
160,1995,80,323,0.2476780185758514
160,1996,80,325,0.24615384615384617
160,1997,79,328,0.24085365853658536
160,1998,81,337,0.2403560830860534
160,1999,82,330,0.24848484848484848
160,2000,84,330,0.2545454545454545
160,2001,85,323,0.2631578947368421
160,2002,85,327,0.2599388379204893
160,2003,85,327,0.2599388379204893
160,2004,85,327,0.2599388379204893
160,2005,86,324,0.2654320987654321
165,1995,69,323,0.21362229102167182
165,1996,68,325,0.20923076923076922
165,1997,68,328,0.2073170731707317
165,1998,71,337,0.21068249258160238
165,1999,70,330,0.21212121212121213
165,2000,71,330,0.21515151515151515
165,2001,72,323,0.22291021671826625
165,2002,73,327,0.22324159021406728
165,2003,73,327,0.22324159021406728
165,2004,73,327,0.22324159021406728
165,2005,74,324,0.22839506172839505
200,1995,99,323,0.3065015479876161
200,1996,98,325,0.30153846153846153
200,1997,99,328,0.3018292682926829
200,1998,106,337,0.314540059347181
200,1999,102,330,0.3090909090909091
200,2000,101,330,0.30606060606060603
200,2001,103,323,0.3188854489164087
200,2002,103,327,0.3149847094801223
200,2003,103,327,0.3149847094801223
200,2004,104,327,0.3180428134556575
200,2005,105,324,0.32407407407407407
205,1995,73,323,0.2260061919504644
205,1996,72,325,0.22153846153846155
205,1997,72,328,0.21951219512195122
205,1998,75,337,0.22255192878338279
205,1999,73,330,0.22121212121212122
205,2000,72,330,0.21818181818181817
205,2001,73,323,0.2260061919504644
205,2002,72,327,0.22018348623853212
205,2003,73,327,0.22324159021406728
205,2004,75,327,0.22935779816513763
205,2005,75,324,0.23148148148148148
210,1995,106,323,0.3281733746130031
210,1996,104,325,0.32
210,1997,104,328,0.3170731707317073
210,1998,107,337,0.31750741839762614
210,1999,104,330,0.3151515151515151
210,2000,102,330,0.3090909090909091
210,2001,103,323,0.3188854489164087
210,2002,102,327,0.3119266055045872
210,2003,102,327,0.3119266055045872
210,2004,103,327,0.3149847094801223
210,2005,104,324,0.32098765432098764
211,1995,106,323,0.3281733746130031
211,1996,104,325,0.32
211,1997,104,328,0.3170731707317073
211,1998,107,337,0.31750741839762614
211,1999,103,330,0.31212121212121213
211,2000,100,330,0.30303030303030304
211,2001,100,323,0.30959752321981426
211,2002,100,327,0.3058103975535168
211,2003,101,327,0.308868501529052
211,2004,101,327,0.308868501529052
211,2005,102,324,0.3148148148148148
220,1995,120,323,0.3715170278637771
220,1996,119,325,0.36615384615384616
220,1997,120,328,0.36585365853658536
220,1998,125,337,0.37091988130563797
220,1999,123,330,0.37272727272727274
220,2000,122,330,0.3696969696969697
220,2001,123,323,0.38080495356037153
220,2002,121,327,0.37003058103975534
220,2003,121,327,0.37003058103975534
220,2004,122,327,0.3730886850152905
220,2005,121,324,0.3734567901234568
225,1995,88,323,0.2724458204334365
225,1996,89,325,0.27384615384615385
225,1997,88,328,0.2682926829268293
225,1998,91,337,0.27002967359050445
225,1999,91,330,0.27575757575757576
225,2000,91,330,0.27575757575757576
225,2001,90,323,0.2786377708978328
225,2002,90,327,0.27522935779816515
225,2003,90,327,0.27522935779816515
225,2004,92,327,0.28134556574923547
225,2005,92,324,0.2839506172839506
230,1995,100,323,0.30959752321981426
230,1996,99,325,0.3046153846153846
230,1997,100,328,0.3048780487804878
230,1998,105,337,0.3115727002967359
230,1999,102,330,0.3090909090909091
230,2000,102,330,0.3090909090909091
230,2001,102,323,0.3157894736842105
230,2002,99,327,0.30275229357798167
230,2003,101,327,0.308868501529052
230,2004,101,327,0.308868501529052
230,2005,102,324,0.3148148148148148
235,1995,91,323,0.28173374613003094
235,1996,91,325,0.28
235,1997,93,328,0.28353658536585363
235,1998,97,337,0.2878338278931751
235,1999,93,330,0.2818181818181818
235,2000,92,330,0.2787878787878788
235,2001,93,323,0.28792569659442724
235,2002,94,327,0.2874617737003058
235,2003,95,327,0.290519877675841
235,2004,96,327,0.29357798165137616
235,2005,97,324,0.2993827160493827
260,1995,104,323,0.3219814241486068
260,1996,102,325,0.31384615384615383
260,1997,102,328,0.31097560975609756
260,1998,107,337,0.31750741839762614
260,1999,104,330,0.3151515151515151
260,2000,102,330,0.3090909090909091
260,2001,103,323,0.3188854489164087
260,2002,102,327,0.3119266055045872
260,2003,103,327,0.3149847094801223
260,2004,103,327,0.3149847094801223
260,2005,102,324,0.3148148148148148
290,1995,68,323,0.21052631578947367
290,1996,70,325,0.2153846153846154
290,1997,71,328,0.21646341463414634
290,1998,74,337,0.2195845697329377
290,1999,77,330,0.23333333333333334
290,2000,78,330,0.23636363636363636
290,2001,80,323,0.2476780185758514
290,2002,78,327,0.23853211009174313
290,2003,78,327,0.23853211009174313
290,2004,82,327,0.25076452599388377
290,2005,81,324,0.25
305,1995,85,323,0.2631578947368421
305,1996,86,325,0.26461538461538464
305,1997,86,328,0.2621951219512195
305,1998,88,337,0.26112759643916916
305,1999,86,330,0.2606060606060606
305,2000,85,330,0.25757575757575757
305,2001,85,323,0.2631578947368421
305,2002,85,327,0.2599388379204893
305,2003,85,327,0.2599388379204893
305,2004,85,327,0.2599388379204893
305,2005,85,324,0.2623456790123457
310,1995,62,323,0.19195046439628483
310,1996,63,325,0.19384615384615383
310,1997,66,328,0.20121951219512196
310,1998,68,337,0.20178041543026706
310,1999,70,330,0.21212121212121213
310,2000,70,330,0.21212121212121213
310,2001,70,323,0.21671826625386997
310,2002,70,327,0.21406727828746178
310,2003,71,327,0.21712538226299694
310,2004,74,327,0.22629969418960244
310,2005,74,324,0.22839506172839505
316,1995,60,323,0.18575851393188855
316,1996,62,325,0.19076923076923077
316,1997,62,328,0.18902439024390244
316,1998,63,337,0.18694362017804153
316,1999,65,330,0.19696969696969696
316,2000,64,330,0.19393939393939394
316,2001,66,323,0.2043343653250774
316,2002,67,327,0.20489296636085627
316,2003,67,327,0.20489296636085627
316,2004,69,327,0.21100917431192662
316,2005,70,324,0.21604938271604937
325,1995,99,323,0.3065015479876161
325,1996,98,325,0.30153846153846153
325,1997,98,328,0.29878048780487804
325,1998,102,337,0.3026706231454006
325,1999,101,330,0.30606060606060603
325,2000,100,330,0.30303030303030304
325,2001,103,323,0.3188854489164087
325,2002,101,327,0.308868501529052
325,2003,102,327,0.3119266055045872
325,2004,102,327,0.3119266055045872
325,2005,102,324,0.3148148148148148
339,1995,42,323,0.13003095975232198
339,1996,44,325,0.13538461538461538
339,1997,44,328,0.13414634146341464
339,1998,44,337,0.13056379821958458
339,1999,46,330,0.1393939393939394
339,2000,48,330,0.14545454545454545
339,2001,48,323,0.14860681114551083
339,2002,48,327,0.14678899082568808
339,2003,50,327,0.1529051987767584
339,2004,51,327,0.1559633027522936
339,2005,52,324,0.16049382716049382
343,1995,33,323,0.1021671826625387
343,1996,34,325,0.10461538461538461
343,1997,38,328,0.11585365853658537
343,1998,40,337,0.11869436201780416
343,1999,41,330,0.12424242424242424
343,2000,41,330,0.12424242424242424
343,2001,41,323,0.12693498452012383
343,2002,41,327,0.12538226299694188
343,2003,42,327,0.12844036697247707
343,2004,42,327,0.12844036697247707
343,2005,43,324,0.13271604938271606
344,1995,43,323,0.13312693498452013
344,1996,46,325,0.14153846153846153
344,1997,50,328,0.1524390243902439
344,1998,54,337,0.16023738872403562
344,1999,55,330,0.16666666666666666
344,2000,58,330,0.17575757575757575
344,2001,59,323,0.1826625386996904
344,2002,60,327,0.1834862385321101
344,2003,62,327,0.18960244648318042
344,2004,61,327,0.18654434250764526
344,2005,63,324,0.19444444444444445
345,1995,41,323,0.12693498452012383
345,1996,38,325,0.11692307692307692
345,1997,39,328,0.11890243902439024
345,1998,40,337,0.11869436201780416
345,1999,38,330,0.11515151515151516
345,2000,43,330,0.1303030303030303
345,2001,50,323,0.15479876160990713
345,2002,53,327,0.1620795107033639
345,2003,55,327,0.16819571865443425
345,2004,58,327,0.17737003058103976
345,2005,61,324,0.1882716049382716
346,1995,26,323,0.0804953560371517
346,1996,29,325,0.08923076923076922
346,1997,31,328,0.09451219512195122
346,1998,33,337,0.09792284866468842
346,1999,33,330,0.1
346,2000,34,330,0.10303030303030303
346,2001,37,323,0.11455108359133127
346,2002,39,327,0.11926605504587157
346,2003,40,327,0.12232415902140673
346,2004,41,327,0.12538226299694188
346,2005,42,324,0.12962962962962962
349,1995,43,323,0.13312693498452013
349,1996,45,325,0.13846153846153847
349,1997,48,328,0.14634146341463414
349,1998,52,337,0.1543026706231454
349,1999,53,330,0.1606060606060606
349,2000,56,330,0.1696969696969697
349,2001,57,323,0.17647058823529413
349,2002,59,327,0.18042813455657492
349,2003,60,327,0.1834862385321101
349,2004,66,327,0.2018348623853211
349,2005,68,324,0.20987654320987653
350,1995,84,323,0.26006191950464397
350,1996,83,325,0.2553846153846154
350,1997,83,328,0.2530487804878049
350,1998,85,337,0.2522255192878338
350,1999,84,330,0.2545454545454545
350,2000,81,330,0.24545454545454545
350,2001,84,323,0.26006191950464397
350,2002,83,327,0.25382262996941896
350,2003,83,327,0.25382262996941896
350,2004,84,327,0.25688073394495414
350,2005,85,324,0.2623456790123457
355,1995,59,323,0.1826625386996904
355,1996,62,325,0.19076923076923077
355,1997,62,328,0.18902439024390244
355,1998,66,337,0.19584569732937684
355,1999,69,330,0.20909090909090908
355,2000,69,330,0.20909090909090908
355,2001,70,323,0.21671826625386997
355,2002,70,327,0.21406727828746178
355,2003,70,327,0.21406727828746178
355,2004,72,327,0.22018348623853212
355,2005,74,324,0.22839506172839505
359,1995,37,323,0.11455108359133127
359,1996,42,325,0.12923076923076923
359,1997,44,328,0.13414634146341464
