gwcode,year,hro_n,hro_secloc
235,2002,70.3333333333335,0
235,2003,69,0
235,2004,NA,0
235,2005,NA,0
260,1995,91,2
260,1996,96.5,2
260,1997,102,2
260,1998,100.5,2
260,1999,99,2
260,2000,128,2
260,2001,122.666666666666,2
260,2002,117.333333333334,2
260,2003,112,2
260,2004,NA,2
260,2005,NA,2
290,1995,50,2
290,1996,57.5,2
290,1997,65,2
290,1998,64.5,2
290,1999,64,2
290,2000,70,2
290,2001,69.6666666666666,2
290,2002,69.3333333333334,2
290,2003,69,2
290,2004,NA,2
290,2005,NA,2
305,1995,65,8
305,1996,72,8
305,1997,79,8
305,1998,77.5,8
305,1999,NA,NA
305,2000,NA,NA
305,2001,NA,NA
305,2002,NA,NA
305,2003,88,8
305,2004,NA,NA
305,2005,NA,8
310,1995,42,0
310,1996,50,1
310,1997,58,1
310,1998,57.5,1
310,1999,57,1
310,2000,64,1
310,2001,62,1
310,2002,60,1
310,2003,58,1
310,2004,NA,1
310,2005,NA,1
316,1995,38,2
316,1996,46.5,2
316,1997,55,2
316,1998,53,2
316,1999,51,2
316,2000,59,2
316,2001,58,2
316,2002,57,2
316,2003,56,2
316,2004,NA,2
316,2005,NA,2
325,1995,76,7
325,1996,82.5,7
325,1997,89,7
325,1998,88.5,7
325,1999,88,7
325,2000,107,7
325,2001,103,7
325,2002,99,7
325,2003,95,7
325,2004,NA,7
325,2005,NA,7
339,1995,11,NA
339,1996,16.5,NA
339,1997,22,NA
339,1998,22.5,NA
339,1999,23,NA
339,2000,26,NA
339,2001,27.3333333333335,NA
339,2002,28.6666666666665,NA
339,2003,NA,NA
339,2004,NA,NA
339,2005,NA,NA
343,1995,NA,0
343,1996,NA,0
343,1997,NA,0
343,1998,NA,0
343,1999,NA,0
343,2000,NA,0
343,2001,NA,0
343,2002,NA,0
343,2003,NA,0
343,2004,NA,0
343,2005,NA,0
344,1995,18,0
344,1996,26.5,0
344,1997,35,0
344,1998,36,0
344,1999,37,0
344,2000,35,0
344,2001,37.333333333333,0
344,2002,39.666666666667,0
344,2003,42,0
344,2004,NA,0
344,2005,NA,0
345,1995,27,NA
345,1996,30.5,NA
345,1997,34,NA
345,1998,33.5,NA
345,1999,33,NA
345,2000,NA,NA
345,2001,33,NA
345,2002,34,NA
345,2003,35,NA
345,2004,NA,NA
345,2005,NA,NA
346,1995,NA,NA
346,1996,NA,NA
346,1997,NA,NA
346,1998,NA,NA
346,1999,NA,NA
346,2000,NA,NA
346,2001,NA,NA
346,2002,NA,NA
346,2003,NA,NA
346,2004,NA,NA
346,2005,NA,NA
349,1995,12,0
349,1996,22,0
349,1997,32,0
349,1998,31,0
349,1999,30,0
349,2000,29,0
349,2001,32,0
349,2002,35,0
349,2003,38,0
349,2004,NA,0
349,2005,NA,0
350,1995,58,2
350,1996,61.5,2
350,1997,65,2
350,1998,65,2
350,1999,65,2
350,2000,78,2
350,2001,76.3333333333335,2
350,2002,74.6666666666665,2
350,2003,NA,NA
350,2004,NA,NA
350,2005,NA,2
355,1995,31,0
355,1996,37.5,0
355,1997,44,0
355,1998,43,1
355,1999,42,1
355,2000,45,1
355,2001,43.6666666666665,1
355,2002,42.3333333333335,1
355,2003,41,1
355,2004,NA,1
355,2005,NA,1
359,1995,NA,NA
359,1996,NA,NA
359,1997,NA,NA
359,1998,NA,NA
359,1999,NA,NA
359,2000,NA,NA
359,2001,NA,NA
359,2002,NA,NA
359,2003,NA,NA
359,2004,NA,NA
359,2005,NA,NA
360,1995,39,0
360,1996,46.5,0
360,1997,54,0
360,1998,53,0
360,1999,52,0
360,2000,55,0
360,2001,55,0
360,2002,55,0
360,2003,55,0
360,2004,NA,0
360,2005,NA,0
365,1995,29,4
365,1996,38.5,4
365,1997,48,4
365,1998,50,4
365,1999,52,4
365,2000,66,4
365,2001,66.3333333333334,4
365,2002,66.6666666666666,4
365,2003,67,4
365,2004,NA,4
365,2005,NA,4
366,1995,14,0
366,1996,21,0
366,1997,28,0
366,1998,26.5,0
366,1999,25,0
366,2000,29,0
366,2001,31.333333333333,0
366,2002,33.666666666667,0
366,2003,36,0
366,2004,NA,NA
366,2005,NA,0
367,1995,14,1
367,1996,20.5,1
367,1997,27,1
367,1998,25,1
367,1999,23,1
367,2000,29,1
367,2001,30,1
367,2002,31,1
367,2003,32,1
367,2004,NA,1
367,2005,NA,1
368,1995,15,1
368,1996,23.5,1
368,1997,32,1
368,1998,31,1
368,1999,30,1
368,2000,36,1
368,2001,37,1
368,2002,38,1
368,2003,NA,NA
368,2004,NA,1
368,2005,NA,1
369,1995,16,0
369,1996,22,0
369,1997,28,0
369,1998,27.5,0
369,1999,27,0
369,2000,34,0
369,2001,34.6666666666667,0
369,2002,35.3333333333333,0
369,2003,NA,NA
369,2004,NA,0
369,2005,NA,0
370,1995,7,1
370,1996,12,1
370,1997,17,1
370,1998,19.5,1
370,1999,22,1
370,2000,25,1
370,2001,24,1
370,2002,23,1
370,2003,22,1
370,2004,NA,1
370,2005,NA,1
371,1995,4,NA
371,1996,8,NA
371,1997,12,NA
371,1998,12,NA
371,1999,12,NA
371,2000,14,NA
371,2001,17,NA
371,2002,20,NA
371,2003,23,NA
371,2004,NA,NA
371,2005,NA,NA
372,1995,8,0
372,1996,12.5,0
372,1997,17,0
372,1998,16,1
372,1999,15,1
372,2000,16,1
372,2001,18,1
372,2002,20,1
372,2003,22,1
372,2004,NA,1
372,2005,NA,1
373,1995,7,NA
373,1996,11.5,NA
373,1997,16,NA
373,1998,16,NA
373,1999,16,NA
373,2000,15,NA
373,2001,18,NA
373,2002,21,NA
373,2003,NA,NA
373,2004,NA,NA
373,2005,NA,NA
375,1995,48,1
375,1996,55,1
375,1997,62,1
375,1998,60.5,1
375,1999,59,1
375,2000,76,1
375,2001,74.6666666666665,1
375,2002,73.3333333333335,1
375,2003,72,1
375,2004,NA,1
375,2005,NA,1
380,1995,64,2
380,1996,69,2
380,1997,74,2
380,1998,71.5,2
380,1999,69,2
380,2000,87,2
380,2001,85,2
380,2002,83,2
380,2003,81,2
380,2004,NA,NA
380,2005,NA,2
385,1995,48,1
385,1996,53,1
385,1997,58,1
385,1998,56.5,1
385,1999,55,1
385,2000,74,1
385,2001,73,1
385,2002,72,1
385,2003,NA,NA
385,2004,NA,1
385,2005,NA,1
390,1995,58,3
390,1996,63.5,3
390,1997,69,3
390,1998,67.5,3
390,1999,66,3
390,2000,88,3
390,2001,85.666666666667,3
390,2002,83.333333333333,3
390,2003,81,3
390,2004,NA,NA
390,2005,NA,3
404,1995,9,1
404,1996,11.5,1
404,1997,14,1
404,1998,16,1
404,1999,18,1
404,2000,19,1
404,2001,18.6666666666666,1
404,2002,18.3333333333334,1
404,2003,18,1
404,2004,NA,1
404,2005,NA,1
420,1995,20,1
420,1996,22,1
420,1997,24,1
420,1998,23.5,1
420,1999,23,1
420,2000,29,1
420,2001,26.666666666667,1
420,2002,24.333333333333,1
420,2003,22,1
420,2004,NA,1
420,2005,NA,1
432,1995,19,0
432,1996,23.5,0
432,1997,28,0
432,1998,27,0
432,1999,26,0
432,2000,28,0
432,2001,26.6666666666665,0
432,2002,25.3333333333335,0
432,2003,24,0
432,2004,NA,0
432,2005,NA,0
433,1995,47,4
433,1996,48.5,4
433,1997,50,4
433,1998,50,4
433,1999,50,4
433,2000,63,4
433,2001,58.3333333333339,4
433,2002,53.6666666666661,4
433,2003,49,4
433,2004,NA,4
433,2005,NA,4
434,1995,33,0
434,1996,38,0
434,1997,43,0
434,1998,39.5,0
434,1999,36,0
434,2000,42,0
434,2001,40,0
434,2002,38,0
434,2003,36,0
434,2004,NA,0
434,2005,NA,0
435,1995,21,2
435,1996,23.5,2
435,1997,26,2
435,1998,27.5,2
435,1999,29,2
435,2000,31,2
435,2001,29.3333333333335,2
435,2002,27.6666666666665,NA
435,2003,26,NA
435,2004,NA,NA
435,2005,NA,NA
436,1995,17,0
436,1996,20.5,0
436,1997,24,0
436,1998,25.5,0
436,1999,27,0
436,2000,31,0
436,2001,29.6666666666665,0
436,2002,28.3333333333335,0
436,2003,27,0
436,2004,NA,0
436,2005,NA,0
437,1995,33,1
437,1996,35.5,1
437,1997,38,1
437,1998,39,1
437,1999,40,1
437,2000,41,1
437,2001,39.3333333333335,1
437,2002,37.6666666666665,1
437,2003,36,1
437,2004,NA,1
437,2005,NA,1
438,1995,20,1
438,1996,24.5,1
438,1997,29,1
438,1998,30,1
438,1999,31,1
438,2000,28,1
438,2001,26.3333333333335,1
438,2002,24.6666666666665,1
438,2003,23,1
438,2004,NA,1
438,2005,NA,1
439,1995,29,3
439,1996,32.5,3
439,1997,36,3
439,1998,37.5,3
439,1999,39,3
439,2000,38,3
439,2001,37.6666666666666,3
439,2002,37.3333333333334,3
439,2003,37,3
439,2004,NA,3
439,2005,NA,3
450,1995,NA,NA
450,1996,21.5,0
450,1997,24,0
450,1998,24,0
450,1999,24,0
450,2000,25,0
450,2001,23.3333333333335,0
450,2002,21.6666666666665,0
450,2003,20,0
450,2004,NA,0
450,2005,NA,0
451,1995,25,NA
451,1996,27,NA
451,1997,NA,NA
451,1998,NA,NA
451,1999,NA,NA
451,2000,NA,NA
451,2001,28.6666666666665,NA
451,2002,27.3333333333335,NA
451,2003,26,NA
451,2004,NA,NA
451,2005,NA,NA
452,1995,34,2
452,1996,37,2
452,1997,40,2
452,1998,41,2
452,1999,42,2
452,2000,46,2
452,2001,45,2
452,2002,44,2
452,2003,43,2
452,2004,NA,2
452,2005,NA,2
461,1995,30,2
461,1996,33,2
461,1997,36,2
461,1998,33.5,2
461,1999,31,2
461,2000,32,2
461,2001,31.3333333333333,2
461,2002,30.6666666666667,2
461,2003,30,2
461,2004,NA,2
461,2005,NA,2
471,1995,30,0
471,1996,32.5,0
471,1997,35,0
471,1998,37,0
471,1999,39,0
471,2000,44,0
471,2001,43,0
471,2002,42,0
471,2003,41,0
471,2004,NA,0
471,2005,NA,0
475,1995,42,2
475,1996,46.5,2
475,1997,51,2
475,1998,51,2
475,1999,51,2
475,2000,52,2
475,2001,51,2
475,2002,50,2
475,2003,49,2
475,2004,NA,2
475,2005,NA,2
481,1995,12,0
481,1996,14.5,0
481,1997,17,0
481,1998,17,0
481,1999,17,0
481,2000,15,0
481,2001,14.3333333333333,0
481,2002,13.6666666666667,0
481,2003,13,0
481,2004,NA,0
481,2005,NA,0
482,1995,14,0
482,1996,17,0
482,1997,20,0
482,1998,19.5,0
482,1999,19,0
482,2000,20,0
482,2001,18.3333333333335,0
482,2002,16.6666666666665,0
482,2003,15,0
482,2004,NA,0
482,2005,NA,0
483,1995,16,NA
483,1996,19.5,NA
483,1997,23,NA
483,1998,23.5,NA
483,1999,24,NA
483,2000,24,NA
483,2001,22.6666666666665,NA
483,2002,21.3333333333335,NA
483,2003,20,NA
483,2004,NA,NA
483,2005,NA,NA
484,1995,16,1
484,1996,19,1
484,1997,22,1
484,1998,23,1
484,1999,24,1
484,2000,29,1
484,2001,27,1
484,2002,25,1
484,2003,23,1
484,2004,NA,1
484,2005,NA,1
490,1995,NA,NA
490,1996,NA,NA
490,1997,NA,NA
490,1998,NA,NA
490,1999,NA,NA
490,2000,NA,NA
490,2001,44,1
490,2002,43,1
490,2003,42,1
490,2004,NA,1
490,2005,NA,1
500,1995,30,0
500,1996,34,0
500,1997,38,0
500,1998,37.5,0
500,1999,37,0
500,2000,48,0
500,2001,45.333333333333,0
500,2002,42.666666666667,0
500,2003,40,0
500,2004,NA,0
500,2005,NA,0
501,1995,40,2
501,1996,44,2
501,1997,48,2
501,1998,49.5,2
501,1999,51,2
501,2000,55,2
501,2001,53.3333333333335,2
501,2002,51.6666666666665,2
501,2003,50,2
501,2004,NA,2
501,2005,NA,2
510,1995,27,0
510,1996,31.5,0
510,1997,36,0
510,1998,35.5,0
510,1999,35,0
510,2000,40,0
510,2001,40,0
510,2002,40,0
510,2003,40,0
510,2004,NA,0
510,2005,NA,0
516,1995,21,NA
516,1996,24.5,NA
516,1997,28,NA
516,1998,27,NA
516,1999,26,NA
516,2000,23,NA
516,2001,23.6666666666667,NA
516,2002,24.3333333333333,NA
516,2003,25,NA
516,2004,NA,NA
516,2005,NA,NA
517,1995,17,NA
517,1996,21,NA
517,1997,25,NA
517,1998,26,NA
517,1999,27,NA
517,2000,29,NA
517,2001,28,NA
517,2002,27,NA
517,2003,26,NA
517,2004,NA,NA
517,2005,NA,NA
520,1995,NA,NA
520,1996,NA,NA
520,1997,NA,NA
520,1998,NA,NA
520,1999,NA,NA
520,2000,NA,NA
520,2001,NA,NA
520,2002,NA,NA
520,2003,NA,NA
520,2004,NA,NA
520,2005,NA,NA
530,1995,25,0
530,1996,28,0
530,1997,31,0
530,1998,29.5,0
530,1999,28,0
530,2000,32,0
530,2001,31.6666666666666,0
530,2002,31.3333333333334,0
530,2003,31,0
530,2004,NA,0
530,2005,NA,0
531,1995,NA,NA
531,1996,NA,NA
531,1997,NA,NA
531,1998,NA,NA
531,1999,NA,NA
531,2000,NA,NA
531,2001,NA,NA
531,2002,NA,NA
531,2003,NA,NA
531,2004,NA,NA
531,2005,NA,NA
540,1995,19,1
540,1996,19.5,1
540,1997,20,1
540,1998,21,1
540,1999,22,1
540,2000,19,1
540,2001,18.6666666666666,1
540,2002,18.3333333333334,NA
540,2003,18,NA
540,2004,NA,NA
540,2005,NA,NA
541,1995,18,1
541,1996,20,1
541,1997,22,1
541,1998,23.5,1
541,1999,25,1
541,2000,27,1
541,2001,26.6666666666666,1
541,2002,26.3333333333334,1
541,2003,26,1
541,2004,NA,1
541,2005,NA,1
551,1995,28,0
551,1996,29.5,0
551,1997,31,0
551,1998,31,0
551,1999,31,0
551,2000,36,0
551,2001,34,0
551,2002,32,0
551,2003,30,0
551,2004,NA,0
551,2005,NA,0
552,1995,38,3
552,1996,39,3
552,1997,40,3
552,1998,40.5,3
552,1999,41,3
552,2000,47,3
552,2001,44.333333333333,3
552,2002,41.666666666667,3
552,2003,39,3
552,2004,NA,3
552,2005,NA,3
553,1995,18,NA
553,1996,20,NA
553,1997,22,NA
553,1998,22,NA
553,1999,22,NA
553,2000,22,NA
553,2001,22,NA
553,2002,22,NA
553,2003,22,NA
553,2004,NA,NA
553,2005,NA,NA
560,1995,46,2
560,1996,52,2
560,1997,58,2
560,1998,57,2
560,1999,56,2
560,2000,65,2
560,2001,64.6666666666666,2
560,2002,64.3333333333334,2
560,2003,64,2
560,2004,NA,2
560,2005,NA,2
565,1995,21,1
565,1996,23,1
565,1997,25,1
565,1998,25,1
565,1999,25,1
565,2000,23,1
565,2001,22,1
565,2002,21,1
565,2003,20,1
565,2004,NA,1
565,2005,NA,1
570,1995,14,NA
570,1996,17.5,NA
570,1997,21,NA
570,1998,NA,NA
570,1999,21,NA
570,2000,21,NA
570,2001,20,NA
570,2002,19,NA
570,2003,18,NA
570,2004,NA,NA
570,2005,NA,NA
571,1995,17,NA
571,1996,18.5,NA
571,1997,20,NA
571,1998,19,NA
571,1999,18,NA
571,2000,16,NA
571,2001,17.3333333333335,NA
571,2002,18.6666666666665,NA
571,2003,20,NA
571,2004,NA,NA
571,2005,NA,NA
572,1995,15,NA
572,1996,15.5,NA
572,1997,16,NA
572,1998,16.5,NA
572,1999,17,NA
572,2000,16,NA
572,2001,16.3333333333334,NA
