gwcode,year,NE.TRD.GNFS.ZS
712,2010,103.350031656557
712,2011,126.999228633482
712,2012,109.588564341699
712,2013,100.311989314561
712,2014,109.322311712805
712,2015,90.2870128781809
712,2016,95.6114075504612
712,2017,117.142494995184
712,2018,123.826644359012
713,1960,NA
713,1961,NA
713,1962,NA
713,1963,NA
713,1964,NA
713,1965,NA
713,1966,NA
713,1967,NA
713,1968,NA
713,1969,NA
713,1970,NA
713,1971,NA
713,1972,NA
713,1973,NA
713,1974,NA
713,1975,NA
713,1976,NA
713,1977,NA
713,1978,NA
713,1979,NA
713,1980,NA
713,1981,NA
713,1982,NA
713,1983,NA
713,1984,NA
713,1985,NA
713,1986,NA
713,1987,NA
713,1988,NA
713,1989,NA
713,1990,NA
713,1991,NA
713,1992,NA
713,1993,NA
713,1994,NA
713,1995,NA
713,1996,NA
713,1997,NA
713,1998,NA
713,1999,NA
713,2000,NA
713,2001,NA
713,2002,NA
713,2003,NA
713,2004,NA
713,2005,NA
713,2006,NA
713,2007,NA
713,2008,NA
713,2009,NA
713,2010,NA
713,2011,NA
713,2012,NA
713,2013,NA
713,2014,NA
713,2015,NA
713,2016,NA
713,2017,NA
713,2018,NA
731,1960,NA
731,1961,NA
731,1962,NA
731,1963,NA
731,1964,NA
731,1965,NA
731,1966,NA
731,1967,NA
731,1968,NA
731,1969,NA
731,1970,NA
731,1971,NA
731,1972,NA
731,1973,NA
731,1974,NA
731,1975,NA
731,1976,NA
731,1977,NA
731,1978,NA
731,1979,NA
731,1980,NA
731,1981,NA
731,1982,NA
731,1983,NA
731,1984,NA
731,1985,NA
731,1986,NA
731,1987,NA
731,1988,NA
731,1989,NA
731,1990,NA
731,1991,NA
731,1992,NA
731,1993,NA
731,1994,NA
731,1995,NA
731,1996,NA
731,1997,NA
731,1998,NA
731,1999,NA
731,2000,NA
731,2001,NA
731,2002,NA
731,2003,NA
731,2004,NA
731,2005,NA
731,2006,NA
731,2007,NA
731,2008,NA
731,2009,NA
731,2010,NA
731,2011,NA
731,2012,NA
731,2013,NA
731,2014,NA
731,2015,NA
731,2016,NA
731,2017,NA
731,2018,NA
732,1960,14.6036829463571
732,1961,18.0013258203513
732,1962,19.4723892837616
732,1963,18.6017357762777
732,1964,17.3445105462412
732,1965,21.4615662215807
732,1966,26.6638521437283
732,1967,28.7992081017285
732,1968,32.7891035868345
732,1969,33.0720195307202
732,1970,32.5819378846429
732,1971,35.7207351527685
732,1972,38.076905019015
732,1973,51.6332638070191
732,1974,55.6111118161398
732,1975,54.0661202653949
732,1976,53.9477700996309
732,1977,53.939730997878
732,1978,54.1631532464003
732,1979,54.3867109057106
732,1980,65.5830945522443
732,1981,67.1614224312708
732,1982,60.269510680882
732,1983,58.0451257013859
732,1984,57.9540842277241
732,1985,53.2213581905465
732,1986,60.7386866875752
732,1987,63.2275389771964
732,1988,59.3863266918113
732,1989,53.5512298340244
732,1990,51.2609989363333
732,1991,50.3892795126534
732,1992,49.4885595574152
732,1993,47.5873961577522
732,1994,48.8754943939996
732,1995,52.7851236259029
732,1996,53.5043795911716
732,1997,58.6329782891242
732,1998,69.9877668564177
732,1999,61.4360739490577
732,2000,67.9471920446434
732,2001,63.9110625956075
732,2002,60.1537078629271
732,2003,63.3929955446642
732,2004,72.7610863105515
732,2005,71.1843141961821
732,2006,73.5513499961596
732,2007,77.2430074330621
732,2008,99.9335622288686
732,2009,90.4126376499317
732,2010,95.6540858036146
732,2011,110.000052525698
732,2012,109.886198237665
732,2013,102.770745913065
732,2014,95.297222698681
732,2015,83.7121215269455
732,2016,77.7128322448845
732,2017,80.7792193532299
732,2018,83.003928307339
740,1960,21.0109012005809
740,1961,20.1795610853921
740,1962,18.7217515364123
740,1963,18.9141938341906
740,1964,19.1849919693708
740,1965,19.6526758750116
740,1966,19.608822893561
740,1967,19.1036703038059
740,1968,19.1253798517048
740,1969,19.5361172444192
740,1970,19.5661448255947
740,1971,19.918116938965
740,1972,18.1451642365182
740,1973,19.2981314826895
740,1974,26.9043547825847
740,1975,24.5979716097079
740,1976,25.3262622289695
740,1977,23.6290866918804
740,1978,19.7273072768368
740,1979,23.1440754776235
740,1980,27.2277616831733
740,1981,27.6288385217909
740,1982,27.2932104663425
740,1983,25.060116036395
740,1984,26.3405837481833
740,1985,24.5959974347141
740,1986,18.1510900118969
740,1987,17.1063640217492
740,1988,17.1853875125939
740,1989,18.8722123124478
740,1990,19.6627488241512
740,1991,18.073942508306
740,1992,17.3298040342119
740,1993,16.0138787096878
740,1994,16.1044723058705
740,1995,16.6794818841082
740,1996,18.5245001539539
740,1997,20.0407381925235
740,1998,19.2320217080914
740,1999,18.3489598227121
740,2000,19.8196527094812
740,2001,19.7981281249701
740,2002,20.6856113593736
740,2003,21.5831293981556
740,2004,23.9223564559182
740,2005,26.5154937832549
740,2006,30.3317816192197
740,2007,33.0938884857704
740,2008,34.3990204251571
740,2009,24.4908999164455
740,2010,28.6130077131406
740,2011,30.3930029700341
740,2012,30.6361236890786
740,2013,34.1475222566436
740,2014,37.5457697966046
740,2015,35.6410207185955
740,2016,31.5153705392525
740,2017,34.613560746688
740,2018,NA
750,1960,11.2968328422616
750,1961,10.2611623492294
750,1962,10.2007899349775
750,1963,10.1873375993757
750,1964,9.41054869490877
750,1965,8.51903416578985
750,1966,10.8142372524948
750,1967,9.98106242935499
750,1968,8.98174426060709
750,1969,7.74477645816923
750,1970,7.66176915460636
750,1971,7.66960637493576
750,1972,7.73639941216967
750,1973,8.93209580500167
750,1974,10.8518899940522
750,1975,12.2939779197436
750,1976,12.8012027663949
750,1977,12.6481008350333
750,1978,12.9030115341915
750,1979,14.9188041744357
750,1980,15.3845764800753
750,1981,14.507264414267
750,1982,14.1259274116503
750,1983,13.690593559048
750,1984,14.0093756090788
750,1985,12.900035885413
750,1986,12.2192716067703
750,1987,12.5848137345057
750,1988,13.4904497934689
750,1989,15.1681317276099
750,1990,15.5062611391284
750,1991,16.9877261445647
750,1992,18.4330986008552
750,1993,19.6515393162631
750,1994,20.0781438958644
750,1995,22.8674481586448
750,1996,21.9294873465817
750,1997,22.6193863251641
750,1998,23.6994695116833
750,1999,24.8155974504444
750,2000,26.9009222662993
750,2001,25.9932541313479
750,2002,29.5086622291351
750,2003,30.5924354008885
750,2004,37.5038131619681
750,2005,42.0016656915717
750,2006,45.7244803248415
750,2007,45.6862710674874
750,2008,53.3682241621196
750,2009,46.2728663121915
750,2010,49.255207170843
750,2011,55.6238800135298
750,2012,55.7937217287511
750,2013,53.8441319466777
750,2014,48.9221857470669
750,2015,41.9229138658647
750,2016,40.1588889134105
750,2017,40.7666804576828
750,2018,43.1257368278191
760,1960,NA
760,1961,NA
760,1962,NA
760,1963,NA
760,1964,NA
760,1965,NA
760,1966,NA
760,1967,NA
760,1968,NA
760,1969,NA
760,1970,NA
760,1971,NA
760,1972,NA
760,1973,NA
760,1974,NA
760,1975,NA
760,1976,NA
760,1977,NA
760,1978,NA
760,1979,NA
760,1980,51.3479721963706
760,1981,63.4785237107963
760,1982,61.3938858648206
