gwcode,year,SP.DYN.IMRT.IN
475,1974,149.5
481,1974,NA
482,1974,126.8
483,1974,125.9
484,1974,79.3
490,1974,142.2
500,1974,114
501,1974,83.3
510,1974,119.1
516,1974,146.1
517,1974,142
520,1974,NA
530,1974,143.3
551,1974,97.2
552,1974,69.9
553,1974,184.5
560,1974,88.1
570,1974,121
571,1974,72.4
572,1974,104.9
580,1974,97.1
590,1974,54
600,1974,111.7
615,1974,132.5
616,1974,99.7
620,1974,76.5
625,1974,93.2
630,1974,109.6
640,1974,112.5
645,1974,68.4
651,1974,148.8
652,1974,61.6
660,1974,45.6
663,1974,55.2
666,1974,24.7
670,1974,99.1
678,1974,187
680,1974,NA
690,1974,42.8
692,1974,40.8
694,1974,39.9
696,1974,50.2
698,1974,122
700,1974,188.8
710,1974,66.3
712,1974,NA
713,1974,NA
731,1974,NA
732,1974,38.7
740,1974,10.6
750,1974,133.2
760,1974,162
770,1974,134.6
771,1974,146.4
775,1974,110.8
780,1974,50.9
781,1974,145.1
790,1974,162.4
800,1974,60.3
811,1974,NA
812,1974,NA
816,1974,NA
817,1974,NA
820,1974,36.4
830,1974,15.9
840,1974,54.7
850,1974,100.2
900,1974,15.3
920,1974,15.4
950,1974,42.9
55,1974,NA
221,1974,NA
223,1974,NA
331,1974,NA
232,1974,NA
971,1974,NA
972,1974,NA
990,1974,NA
2,1975,16
20,1975,14.2
31,1975,27.2
40,1975,24.9
41,1975,143.9
42,1975,74.9
51,1975,37.5
52,1975,39.3
53,1975,31.7
70,1975,65.9
90,1975,102.8
91,1975,84.5
92,1975,95.5
93,1975,100.6
94,1975,38.1
95,1975,41.2
100,1975,58.1
101,1975,41.9
110,1975,54.5
115,1975,NA
130,1975,82
135,1975,91.2
140,1975,90.7
145,1975,127.1
150,1975,54.7
155,1975,55.1
160,1975,53.1
165,1975,49.4
200,1975,15.4
205,1975,16.9
210,1975,10.5
211,1975,15.8
212,1975,14
220,1975,12.4
225,1975,11.2
230,1975,16.5
235,1975,36
260,1975,NA
265,1975,NA
290,1975,24.5
305,1975,19.8
310,1975,32.3
315,1975,NA
325,1975,20.5
338,1975,18.9
339,1975,NA
345,1975,NA
350,1975,23.2
352,1975,NA
355,1975,24.1
360,1975,34.9
365,1975,25.7
375,1975,10
380,1975,8.7
385,1975,10.5
390,1975,10.3
395,1975,10.3
402,1975,81.9
404,1975,NA
411,1975,NA
420,1975,118.1
432,1975,179.8
433,1975,112.6
434,1975,142.9
435,1975,101.4
436,1975,135.6
437,1975,134.9
438,1975,181.8
439,1975,131.7
450,1975,174.5
451,1975,178.2
452,1975,111.4
461,1975,118.3
471,1975,114.3
475,1975,144.7
481,1975,NA
482,1975,125
483,1975,125.4
484,1975,77.6
490,1975,140.4
500,1975,116.3
501,1975,80.9
510,1975,116.8
516,1975,145.7
517,1975,145.6
520,1975,NA
530,1975,143.3
540,1975,NA
541,1975,174.5
551,1975,95.1
552,1975,69.9
553,1975,178.9
560,1975,83.9
570,1975,117.1
571,1975,69.1
572,1975,100.9
580,1975,98.6
581,1975,136.3
590,1975,48.5
600,1975,109.2
615,1975,128.1
616,1975,94.2
620,1975,72.5
625,1975,92.6
630,1975,104.6
640,1975,108.9
645,1975,65.7
651,1975,143.6
652,1975,58.8
660,1975,44.9
663,1975,53
666,1975,22.4
670,1975,93.6
678,1975,179.3
680,1975,NA
690,1975,40.5
692,1975,37.7
694,1975,37.7
696,1975,46
698,1975,114.9
700,1975,184.7
710,1975,62.8
712,1975,NA
713,1975,NA
731,1975,NA
732,1975,37.1
740,1975,10
750,1975,130.4
760,1975,156.5
770,1975,132.6
771,1975,145.1
775,1975,108.6
780,1975,49.6
781,1975,137.7
790,1975,158.9
800,1975,57.8
811,1975,177.4
812,1975,NA
816,1975,51.1
820,1975,34.7
830,1975,14.3
840,1975,54.7
850,1975,97.4
900,1975,14.4
910,1975,86.5
920,1975,14.9
950,1975,42.2
55,1975,NA
221,1975,NA
223,1975,NA
331,1975,NA
232,1975,NA
403,1975,57.4
971,1975,NA
972,1975,NA
990,1975,NA
2,1976,15.2
20,1976,13.3
31,1976,27
40,1976,22.9
41,1976,140.7
42,1976,72.5
51,1976,36.4
52,1976,38.3
53,1976,30
70,1976,63.9
90,1976,99.7
91,1976,81.2
92,1976,92.5
93,1976,96.2
94,1976,33
95,1976,39.7
100,1976,55.4
101,1976,40.7
110,1976,54.2
115,1976,NA
130,1976,78.9
135,1976,89.1
140,1976,88.3
145,1976,123.8
150,1976,53.8
155,1976,48.5
160,1976,50.5
165,1976,48.5
200,1976,14.7
205,1976,16.1
210,1976,10.1
211,1976,14.9
212,1976,13.3
220,1976,12
225,1976,10.4
230,1976,16.4
235,1976,32.6
260,1976,NA
265,1976,NA
290,1976,23.8
305,1976,18.1
310,1976,29.7
315,1976,NA
325,1976,18.7
338,1976,17.9
339,1976,NA
345,1976,NA
350,1976,22.2
352,1976,NA
355,1976,23.5
360,1976,32.9
365,1976,25
375,1976,9.4
380,1976,8.3
385,1976,9.9
390,1976,9.7
395,1976,9.9
402,1976,77.2
404,1976,NA
411,1976,NA
420,1976,115.8
432,1976,175.8
433,1976,108.8
434,1976,139.1
435,1976,99.9
436,1976,134.7
437,1976,129.3
438,1976,179.2
439,1976,127.5
450,1976,171.4
451,1976,175.9
452,1976,108.6
461,1976,115.8
471,1976,114.4
475,1976,140.1
481,1976,NA
482,1976,123.3
483,1976,124.9
484,1976,76.1
490,1976,138.4
500,1976,119.2
501,1976,78.5
510,1976,114.6
516,1976,144.7
517,1976,148.2
520,1976,NA
530,1976,143.4
540,1976,NA
541,1976,173.7
551,1976,94.1
552,1976,69.8
553,1976,173.3
560,1976,79.9
570,1976,113.2
571,1976,65.9
572,1976,96.9
580,1976,100
581,1976,133.2
590,1976,43.7
600,1976,106.4
615,1976,123.4
616,1976,88.6
620,1976,68.8
625,1976,92.1
630,1976,99.4
640,1976,105.1
645,1976,63.1
651,1976,137.8
652,1976,56.2
660,1976,44.1
663,1976,50.9
666,1976,20.3
670,1976,88.5
678,1976,171.3
680,1976,NA
690,1976,38.2
692,1976,35.1
694,1976,35.8
696,1976,42.1
698,1976,107.7
700,1976,180.6
710,1976,59.3
712,1976,NA
713,1976,NA
731,1976,NA
732,1976,35.7
740,1976,9.4
750,1976,127.4
760,1976,151.1
770,1976,130.7
771,1976,143.4
775,1976,106.3
780,1976,48.1
781,1976,130.8
790,1976,155.3
800,1976,55.4
811,1976,165.4
812,1976,NA
816,1976,50.2
820,1976,32.9
830,1976,13.2
840,1976,54.6
850,1976,94.7
900,1976,13.4
910,1976,84.2
920,1976,14.4
950,1976,41.1
55,1976,NA
221,1976,NA
223,1976,NA
331,1976,NA
232,1976,NA
403,1976,57.6
591,1976,36.5
971,1976,NA
972,1976,NA
990,1976,NA
2,1977,14.5
20,1977,12.5
31,1977,26.6
40,1977,20.6
41,1977,137.4
42,1977,70.1
51,1977,35.4
52,1977,37.2
53,1977,28.2
70,1977,61.9
90,1977,96.7
91,1977,78
92,1977,89.4
93,1977,91.6
94,1977,28.1
95,1977,38.5
100,1977,52.7
101,1977,39.5
110,1977,54
115,1977,NA
130,1977,76
135,1977,87.3
140,1977,85.7
145,1977,120.5
150,1977,52.9
155,1977,41.8
160,1977,47.3
