datestr,gwcode,v2x_polyarchy,v2x_api,v2x_mpi,v2x_libdem,v2x_liberal,v2x_partipdem,v2x_partip,v2x_delibdem,v2xdl_delib,v2x_egaldem,v2x_egal
1928,481,0.0187522811107899,0.0375045622215798,0,0.0364456398167076,0.143255169373163,0.011963545664777,0.0457050571814352,7.24748614810599e-4,0.03336286135360572,0.0211064959584652,0.0822592616119164
1929,481,0.0187522811107899,0.0375045622215798,0,0.0364456398167076,0.143255169373163,0.011963545664777,0.0457050571814352,7.24748614810599e-4,0.03336286135360572,0.0211064959584652,0.0822592616119164
1930,481,0.0192144238627264,0.0384288477254529,0,0.0364802125062105,0.143255169373163,0.0135706784383141,0.0519945017904935,7.25519309156171e-4,0.03336286135360572,0.0211299961360986,0.0822592616119164
1931,481,0.0192144238627264,0.0384288477254529,0,0.0364802125062105,0.143255169373163,0.0135706784383141,0.0519945017904935,7.25519309156171e-4,0.03336286135360572,0.0211299961360986,0.0822592616119164
1932,481,0.0192144238627264,0.0384288477254529,0,0.0364802125062105,0.143255169373163,0.0135706784383141,0.0519945017904935,7.25519309156171e-4,0.03336286135360572,0.0211299961360986,0.0822592616119164
1933,481,0.0192144238627264,0.0384288477254529,0,0.0364802125062105,0.143255169373163,0.0135706784383141,0.0519945017904935,7.25519309156171e-4,0.03336286135360572,0.0211299961360986,0.0822592616119164
1934,481,0.0192144238627264,0.0384288477254529,0,0.0364802125062105,0.143255169373163,0.0135706784383141,0.0519945017904935,7.25519309156171e-4,0.03336286135360572,0.0211299961360986,0.0822592616119164
1935,481,0.0192144238627264,0.0384288477254529,0,0.0364802125062105,0.143255169373163,0.0135706784383141,0.0519945017904935,7.25519309156171e-4,0.03336286135360572,0.0211299961360986,0.0822592616119164
1936,481,0.0192144238627264,0.0384288477254529,0,0.0364802125062105,0.143255169373163,0.0135706784383141,0.0519945017904935,7.25519309156171e-4,0.03336286135360572,0.0211299961360986,0.0822592616119164
1937,481,0.0192144238627264,0.0384288477254529,0,0.0364802125062105,0.143255169373163,0.0135706784383141,0.0519945017904935,7.25519309156171e-4,0.03336286135360572,0.0211299961360986,0.0822592616119164
1938,481,0.0192144238627264,0.0384288477254529,0,0.0365424437923448,0.143498415844904,0.0135706784383141,0.0519945017904935,7.25519309156171e-4,0.03336286135360572,0.0211299961360986,0.0822592616119164
1939,481,0.0192144238627264,0.0384288477254529,0,0.0367944485493617,0.144496379350766,0.0135706784383141,0.0519945017904935,7.25519309156171e-4,0.03336286135360572,0.0211299961360986,0.0822592616119164
1940,481,0.0200173614657881,0.0400347229315762,0,0.0368357998116756,0.144496379350766,0.015295081954232,0.0587438015070772,0.00108882359168409,0.04321700921627831,0.0211665660917605,0.0822592616119164
1941,481,0.0200173614657881,0.0400347229315762,0,0.0368357998116756,0.144496379350766,0.015295081954232,0.0587438015070772,0.00108882359168409,0.04321700921627831,0.0211665660917605,0.0822592616119164
1942,481,0.0200173614657881,0.0400347229315762,0,0.0368357998116756,0.144496379350766,0.015295081954232,0.0587438015070772,0.00108882359168409,0.04321700921627831,0.0211665660917605,0.0822592616119164
1943,481,0.0200173614657881,0.0400347229315762,0,0.0368357998116756,0.144496379350766,0.015295081954232,0.0587438015070772,0.00108882359168409,0.04321700921627831,0.0211665660917605,0.0822592616119164
1944,481,0.0206063794383909,0.0412127588767819,0,0.0368468926378151,0.144496379350766,0.0153167668761261,0.0587438015070772,0.00111528976349492,0.04321700921627831,0.0211833296879124,0.0822592616119164
1945,481,0.027818100798114,0.0556362015962281,0,0.0373239371485065,0.144496379350766,0.0319119390097787,0.122991619631665,0.00527649871906723,0.16397557752315128,0.0224770155763032,0.0857432608929433
1946,481,0.102166537440939,0.204333074881878,0,0.0629527055038352,0.212961890071863,0.0483689724659851,0.157564220230015,0.0276918776655931,0.26737683373135096,0.032053784553215,0.0966569062868444
1947,481,0.108754566059263,0.217509132118526,0,0.0639974283602656,0.212961890071863,0.0493506267067464,0.157564220230015,0.0385361866364949,0.3286402351437707,0.0329021828227794,0.0966569062868444
1948,481,0.108754566059263,0.217509132118526,0,0.0639974283602656,0.212961890071863,0.0493506267067464,0.157564220230015,0.0385361866364949,0.3286402351437707,0.0329021828227794,0.0966569062868444
1949,481,0.10921483043769,0.21842966087538,0,0.0640968496000479,0.212961890071863,0.049420387650722,0.157564220230015,0.0389047217314192,0.3286402351437707,0.0329721336891105,0.0966569062868444
1950,481,0.117723827205818,0.235447654411635,0,0.0741264484056572,0.245597790746319,0.0561433518533035,0.178111287596228,0.0507177590625658,0.41989389851172476,0.0435861711618661,0.13241468096658
1951,481,0.123973827205818,0.247947654411635,0,0.075194135448696,0.245597790746319,0.0571158632772642,0.178111287596228,0.0534085531723705,0.41989389851172476,0.0444726548852785,0.13241468096658
1952,481,0.116983057065126,0.233966114130252,0,0.0739925353441468,0.245597790746319,0.0559914247795031,0.178111287596228,0.0501054857751749,0.41989389851172476,0.0434932956295764,0.13241468096658
1953,481,0.116983057065126,0.233966114130252,0,0.0739925353441468,0.245597790746319,0.0559914247795031,0.178111287596228,0.0501054857751749,0.41989389851172476,0.0434932956295764,0.13241468096658
1954,481,0.116983057065126,0.233966114130252,0,0.0739925353441468,0.245597790746319,0.0559914247795031,0.178111287596228,0.0501054857751749,0.41989389851172476,0.0434932956295764,0.13241468096658
1955,481,0.116983057065126,0.233966114130252,0,0.0746985359822546,0.24822904012146,0.0559914247795031,0.178111287596228,0.0501054857751749,0.41989389851172476,0.0434932956295764,0.13241468096658
1956,481,0.116983057065126,0.233966114130252,0,0.0746985359822546,0.24822904012146,0.0559914247795031,0.178111287596228,0.0501054857751749,0.41989389851172476,0.0434932956295764,0.13241468096658
1957,481,0.163226945300126,0.326453890600252,0,0.0833471376324752,0.24822904012146,0.0638484950445958,0.178111287596228,0.0700512435941255,0.41989389851172476,0.0506673718653316,0.13241468096658
1958,481,0.165445601294986,0.330891202589971,0,0.0979276642234878,0.298811823330436,0.0837841492084383,0.247854917243649,0.0710935291786083,0.41989389851172476,0.0550680629680775,0.14679766473469
1959,481,0.165709423927388,0.331418847854775,0,0.0979817704136007,0.298811823330436,0.0839461826986946,0.248237678829907,0.0712019878454491,0.41989389851172476,0.0551049490186068,0.14679766473469
1960,481,0.245699569958697,0.473314477300313,0.0180846626170809,0.133107386156493,0.348215242779372,0.104332835455234,0.253668465625002,0.122050429799142,0.48788757522675086,0.107303890794061,0.26580592641063
1961,481,0.230197546237397,0.446239796367942,0.0141552961068525,0.127750192823073,0.345425673496575,0.08461741801272,0.201187953117645,0.122805442464064,0.5328484109396097,0.106179057905883,0.276025691654767
1962,481,0.228014370897737,0.442355214965444,0.0136735268300303,0.128564326327719,0.349986586309457,0.0842317336339536,0.201187953117645,0.121519888051006,0.5328484109396097,0.105641103297962,0.276025691654767
1963,481,0.228014370897737,0.442355214965444,0.0136735268300303,0.128564326327719,0.349986586309457,0.0842317336339536,0.201187953117645,0.121519888051006,0.5328484109396097,0.105641103297962,0.276025691654767
1964,481,0.225594620826522,0.438396740778655,0.0127925008743889,0.127845306994112,0.349986586309457,0.0836177421926544,0.201187953117645,0.120089279336618,0.5328484109396097,0.105005881074474,0.276025691654767
1965,481,0.151492336250056,0.302984672500112,0,0.106672676736314,0.341213993162935,0.0681006292215252,0.201187953117645,0.0833585996435823,0.5414483478571426,0.0881873265027863,0.276025691654767
1966,481,0.144817315464451,0.289634630928902,0,0.105150822935578,0.341213993162935,0.06035959993324,0.177656075173898,0.079663824967385,0.5414483478571426,0.0867992312858408,0.276025691654767
1967,481,0.204072072510204,0.400583541100307,0.00756060392010207,0.116804437661987,0.332649061154298,0.0718119251767677,0.177656075173898,0.0876949114690889,0.412536295845211,0.100721651904683,0.27963096313535
1968,481,0.189993288666854,0.37542757187347,0.00455900546023811,0.113293084121661,0.332920204430346,0.0621204107423741,0.154189655343911,0.0623313686670042,0.323745257919658,0.0974231645814987,0.280085059586456
1969,481,0.186814933759421,0.36957678347176,0.00405308404708314,0.112553508443014,0.332920204430346,0.0615373140237338,0.154189655343911,0.0616193760961754,0.323745257919658,0.0967454396250755,0.280085059586456
1970,481,0.197736880002867,0.389919142556801,0.00555461744893402,0.112054904736356,0.321611870864219,0.056343142006207,0.128631602969555,0.0652224643236615,0.323745257919658,0.0993858011490225,0.280085059586456
1971,481,0.197736880002867,0.389919142556801,0.00555461744893402,0.113063413759444,0.325169001475473,0.0693238369120527,0.173631602969555,0.0652224643236615,0.323745257919658,0.0993858011490225,0.280085059586456
1972,481,0.199245741057764,0.39249058288167,0.00600089923385833,0.113452061507163,0.325169001475473,0.0696505040245747,0.173631602969555,0.0658552451732253,0.323745257919658,0.099691540841328,0.280085059586456
1973,481,0.198619417976555,0.391598800967885,0.00564003498522516,0.113243335552463,0.325169001475473,0.0695109483027491,0.173631602969555,0.065528083865807,0.323745257919658,0.0995038040537028,0.280085059586456
1974,481,0.198619417976555,0.391598800967885,0.00564003498522516,0.113243335552463,0.325169001475473,0.0695109483027491,0.173631602969555,0.065528083865807,0.323745257919658,0.0995038040537028,0.280085059586456
1975,481,0.198619417976555,0.391598800967885,0.00564003498522516,0.113243335552463,0.325169001475473,0.0695109483027491,0.173631602969555,0.065528083865807,0.323745257919658,0.0995038040537028,0.280085059586456
1976,481,0.198619417976555,0.391598800967885,0.00564003498522516,0.113243335552463,0.325169001475473,0.0686447868508102,0.170631602969555,0.065528083865807,0.323745257919658,0.0995038040537028,0.280085059586456
1977,481,0.198619417976555,0.391598800967885,0.00564003498522516,0.113243335552463,0.325169001475473,0.0677786253988712,0.167631602969555,0.065528083865807,0.323745257919658,0.0995038040537028,0.280085059586456
1978,481,0.198619417976555,0.391598800967885,0.00564003498522516,0.113243335552463,0.325169001475473,0.0669124639469322,0.164631602969555,0.065528083865807,0.323745257919658,0.0995038040537028,0.280085059586456
1979,481,0.198616001467467,0.391473249242571,0.00575875369236256,0.113220940859,0.325169001475473,0.0660115102153641,0.161631602969555,0.0653265593477824,0.323745257919658,0.0995010331968928,0.280085059586456
1980,481,0.199675890280027,0.393455894376881,0.00589588618317371,0.116404386650531,0.33521664454022,0.0653747343586584,0.158631602969555,0.0658230586371266,0.323745257919658,0.103765590518032,0.293916834452204
1981,481,0.197233420228881,0.388775175074177,0.00569166538358395,0.115780201654205,0.33521664454022,0.0640193687852144,0.155631602969555,0.0649718788071567,0.323745257919658,0.121988346193911,0.359165834637659
1982,481,0.197233420228881,0.388775175074177,0.00569166538358395,0.115780201654205,0.33521664454022,0.0631544514890593,0.152631602969555,0.0649718788071567,0.323745257919658,0.121988346193911,0.359165834637659
1983,481,0.197233420228881,0.388775175074177,0.00569166538358395,0.115780201654205,0.33521664454022,0.0622895341929041,0.149631602969555,0.0649718788071567,0.323745257919658,0.121988346193911,0.359165834637659
1984,481,0.197233420228881,0.388775175074177,0.00569166538358395,0.115780201654205,0.33521664454022,0.061424616896749,0.146631602969555,0.0649718788071567,0.323745257919658,0.121988346193911,0.359165834637659
1985,481,0.19755341526566,0.389122897801795,0.0059839327295252,0.115932941597822,0.33521664454022,0.0606486375138186,0.143631602969555,0.0651401440542159,0.323745257919658,0.122030534503635,0.359165834637659
1986,481,0.199375348853404,0.39247501386486,0.00627568384194786,0.11634887504849,0.33521664454022,0.0601336315342181,0.140631602969555,0.065608126843898,0.323745257919658,0.122505756532892,0.359165834637659
1987,481,0.199375348853404,0.39247501386486,0.00627568384194786,0.11634887504849,0.33521664454022,0.0592666758963854,0.137631602969555,0.065608126843898,0.323745257919658,0.122505756532892,0.359165834637659
1988,481,0.199375348853404,0.39247501386486,0.00627568384194786,0.11634887504849,0.33521664454022,0.0583997202585526,0.134631602969555,0.065608126843898,0.323745257919658,0.122505756532892,0.359165834637659
1989,481,0.199375348853404,0.39247501386486,0.00627568384194786,0.11634887504849,0.33521664454022,0.0575327646207199,0.131631602969555,0.065608126843898,0.323745257919658,0.122505756532892,0.359165834637659
1990,481,0.214883851921402,0.420626246784898,0.00914145705790478,0.156438316791116,0.457740731050014,0.0743926264268086,0.17850431745817,0.123453040130636,0.5779430935878024,0.139713377195402,0.404066493245526
1991,481,0.324051242660374,0.594889408223058,0.0532130770976902,0.199269775079966,0.47017771877416,0.188405473727551,0.437761292682914,0.19996215210118,0.6315064146184648,0.212005343540351,0.51204792021192
1992,481,0.345919087809559,0.621173706983952,0.0706644686351649,0.208279549545866,0.470092146242426,0.215034213952489,0.489792292511862,0.240103331580599,0.7006530162088348,0.22574165564212,0.524692570438488
1993,481,0.337331193240587,0.61829324791876,0.0563691385624143,0.204559772664825,0.470092146242426,0.211300850667728,0.489792292511862,0.23973916528416,0.7118945619297274,0.221548844052097,0.524692570438488
1994,481,0.33791329136072,0.619380626218367,0.0564459565030722,0.204878062713498,0.470092146242426,0.209901496494557,0.484792292511862,0.240325806261004,0.7118945619297274,0.221849488182703,0.524692570438488
1995,481,0.33791329136072,0.619380626218367,0.0564459565030722,0.204878062713498,0.470092146242426,0.209901496494557,0.484792292511862,0.240325806261004,0.7118945619297274,0.221849488182703,0.524692570438488
1996,481,0.342284957385806,0.620227117481852,0.064342797289761,0.205224612480059,0.466237903982095,0.211801863151619,0.484792292511862,0.243425863714227,0.7118945619297274,0.223982230693022,0.524692570438488
1997,481,0.344968153191865,0.624825608783645,0.0651106976000852,0.206352760310004,0.466237903982095,0.212788013262542,0.484792292511862,0.245191711453673,0.7118945619297274,0.224994961242999,0.524692570438488
1998,481,0.346305215053203,0.627009774744522,0.0656006553618837,0.206998448648582,0.466237903982095,0.213365485306041,0.484792292511862,0.245594634592437,0.7118945619297274,0.225703978880146,0.524692570438488
1999,481,0.346305215053203,0.627009774744522,0.0656006553618837,0.206998448648582,0.466237903982095,0.213365485306041,0.484792292511862,0.245594634592437,0.7118945619297274,0.225703978880146,0.524692570438488
2e3,481,0.346720304798774,0.626669230838748,0.0667713787587998,0.202045958510107,0.450819698298363,0.213548739423084,0.484792292511862,0.24595651172509,0.7118945619297274,0.25299447075369,0.603800472735321
2001,481,0.345842997065721,0.628053136971656,0.063632857159786,0.201488083310567,0.450819698298363,0.217749526896573,0.49844755127162,0.245424884607149,0.7118945619297274,0.253995579964206,0.60776118403418
2002,481,0.348542737564801,0.632321652943401,0.0647638221862017,0.202546588830883,0.450819698298363,0.218874775877252,0.49844755127162,0.247416292699021,0.7118945619297274,0.255131628284244,0.60776118403418
2003,481,0.348542737564801,0.632321652943401,0.0647638221862017,0.202546588830883,0.450819698298363,0.218874775877252,0.49844755127162,0.247416292699021,0.7118945619297274,0.255131628284244,0.60776118403418
2004,481,0.348542737564801,0.632321652943401,0.0647638221862017,0.202546588830883,0.450819698298363,0.218874775877252,0.49844755127162,0.247416292699021,0.7118945619297274,0.25388237175831,0.60438216775442
2005,481,0.35283299542079,0.633308416621366,0.0723575742202138,0.204297195023005,0.450819698298363,0.220993430093676,0.49844755127162,0.250637774605016,0.7118945619297274,0.255983104715397,0.60438216775442
2006,481,0.349847317533813,0.632993202782596,0.0667014322850298,0.202944375500506,0.450819698298363,0.21952460884761,0.49844755127162,0.24839014901811,0.7118945619297274,0.254284551523761,0.60438216775442
2007,481,0.355611748725524,0.636832880383444,0.0743906170676039,0.205353916376823,0.450819698298363,0.222757824265265,0.500190446094642,0.252780032712684,0.7118945619297274,0.257211407814878,0.60438216775442
2008,481,0.355611748725524,0.636832880383444,0.0743906170676039,0.205293686365153,0.450282141719825,0.222757824265265,0.500190446094642,0.252780032712684,0.7118945619297274,0.257211407814878,0.60438216775442
2009,481,0.367476481733024,0.647109880012185,0.0878430834538639,0.214562369788743,0.462458958517675,0.228022048817945,0.500190446094642,0.294662873620065,0.8224558143677307,0.265584002537932,0.611469458378596
